category,image1,image2,dhash,avghash,phash,whash,nrmse,ssim
cat,cat.png,cat.png,0,0,0,0,0,0
cat,cat-hue.png,cat-hue.png,0,0,0,0,0,0
cat,cat-box.png,cat-box.png,0,0,0,0,0,0
cat,cat-wm-big.png,cat-wm-big.png,0,0,0,0,0,0
cat,cat-wm-small.png,cat-wm-small.png,0,0,0,0,0,0
cat,cat-clonestamp.png,cat-clonestamp.png,0,0,0,0,0,0
cat,cat-wm-big.png,cat-wm-small.png,0,0,0.031,0,0.087,0.015
cat,cat-wm-big.png,cat.png,0,0,0.062,0,0.09,0.014
cat,cat-wm-small.png,cat-wm-big.png,0,0,0.031,0,0.088,0.015
cat,cat-wm-small.png,cat.png,0,0,0.031,0,0.051,0.005
cat,cat.png,cat-wm-big.png,0,0,0.062,0,0.09,0.014
cat,cat.png,cat-wm-small.png,0,0,0.031,0,0.051,0.005
cityscape,cityscape.png,cityscape.png,0,0,0,0,0,0
cityscape,cityscape-wm-small.png,cityscape-wm-small.png,0,0,0,0,0,0
cityscape,cityscape-wm-big.png,cityscape-wm-big.png,0,0,0,0,0,0
cityscape,cityscape-no-cn-tower.png,cityscape-no-cn-tower.png,0,0,0,0,0,0
cityscape,cityscape-hue.png,cityscape-hue.png,0,0,0,0,0,0
cityscape,cityscape-clonestamp.png,cityscape-clonestamp.png,0,0,0,0,0,0
cityscape,cityscape-box.png,cityscape-box.png,0,0,0,0,0,0
cityscape,cityscape-crop-left.png,cityscape-crop-left.png,0,0,0,0,0,0
cityscape,cityscape-crop-right.png,cityscape-crop-right.png,0,0,0,0,0,0
cityscape,cityscape-wm-small.png,cityscape.png,0,0.031,0,0,0.024,0.004
cityscape,cityscape.png,cityscape-wm-small.png,0,0.031,0,0,0.024,0.004
nature-1,nature-1.png,nature-1.png,0,0,0,0,0,0
nature-1,nature-1-hue.png,nature-1-hue.png,0,0,0,0,0,0
nature-1,nature-1-box.png,nature-1-box.png,0,0,0,0,0,0
nature-1,nature-1-wm-big.png,nature-1-wm-big.png,0,0,0,0,0,0
nature-1,nature-1-wm-small.png,nature-1-wm-small.png,0,0,0,0,0,0
nature-1,nature-1-clonestamp.png,nature-1-clonestamp.png,0,0,0,0,0,0
nature-2,nature-2.png,nature-2.png,0,0,0,0,0,0
nature-2,nature-2-hue.png,nature-2-hue.png,0,0,0,0,0,0
nature-2,nature-2-box.png,nature-2-box.png,0,0,0,0,0,0
nature-2,nature-2-wm-big.png,nature-2-wm-big.png,0,0,0,0,0,0
nature-2,nature-2-wm-small.png,nature-2-wm-small.png,0,0,0,0,0,0
nature-2,nature-2-clonestamp.png,nature-2-clonestamp.png,0,0,0,0,0,0
nature-2,nature-2-wm-small.png,nature-2.png,0,0.016,0,0,0.016,0.004
nature-2,nature-2.png,nature-2-wm-small.png,0,0.016,0,0,0.016,0.004
cat,cat-box.png,cat-wm-big.png,0.016,0.016,0.094,0.062,0.128,0.03
cat,cat-box.png,cat-wm-small.png,0.016,0.016,0.094,0.062,0.104,0.021
cat,cat-box.png,cat.png,0.016,0.016,0.094,0.062,0.091,0.016
cat,cat-clonestamp.png,cat-wm-big.png,0.016,0.062,0.062,0.062,0.119,0.027
cat,cat-clonestamp.png,cat-wm-small.png,0.016,0.062,0.062,0.062,0.093,0.018
cat,cat-clonestamp.png,cat.png,0.016,0.062,0.062,0.062,0.078,0.012
cat,cat-hue.png,cat-wm-big.png,0.016,0,0.031,0.031,0.334,0.168
cat,cat-hue.png,cat-wm-small.png,0.016,0,0.062,0.031,0.325,0.161
cat,cat-hue.png,cat.png,0.016,0,0.062,0.031,0.321,0.157
cat,cat-wm-big.png,cat-box.png,0.016,0.016,0.094,0.062,0.127,0.03
cat,cat-wm-big.png,cat-clonestamp.png,0.016,0.062,0.062,0.062,0.118,0.027
cat,cat-wm-big.png,cat-hue.png,0.016,0,0.031,0.031,0.328,0.168
cat,cat-wm-small.png,cat-box.png,0.016,0.016,0.094,0.062,0.103,0.021
cat,cat-wm-small.png,cat-clonestamp.png,0.016,0.062,0.062,0.062,0.093,0.018
cat,cat-wm-small.png,cat-hue.png,0.016,0,0.062,0.031,0.321,0.161
cat,cat.png,cat-box.png,0.016,0.016,0.094,0.062,0.09,0.016
cat,cat.png,cat-clonestamp.png,0.016,0.062,0.062,0.062,0.078,0.012
cat,cat.png,cat-hue.png,0.016,0,0.062,0.031,0.317,0.157
cityscape,cityscape-wm-big.png,cityscape-wm-small.png,0.016,0,0.031,0.031,0.052,0.012
cityscape,cityscape-wm-big.png,cityscape.png,0.016,0.031,0.031,0.031,0.053,0.011
cityscape,cityscape-wm-small.png,cityscape-wm-big.png,0.016,0,0.031,0.031,0.052,0.012
cityscape,cityscape.png,cityscape-wm-big.png,0.016,0.031,0.031,0.031,0.053,0.011
nature-1,nature-1-hue.png,nature-1.png,0.016,0,0.062,0,0.132,0.105
nature-1,nature-1-wm-small.png,nature-1.png,0.016,0.016,0.031,0.062,0.039,0.005
nature-1,nature-1.png,nature-1-hue.png,0.016,0,0.062,0,0.132,0.105
nature-1,nature-1.png,nature-1-wm-small.png,0.016,0.016,0.031,0.062,0.039,0.005
nature-2,nature-2-hue.png,nature-2-wm-small.png,0.016,0.016,0.031,0,0.165,0.091
nature-2,nature-2-hue.png,nature-2.png,0.016,0,0.031,0,0.165,0.087
nature-2,nature-2-wm-big.png,nature-2-wm-small.png,0.016,0,0.062,0,0.037,0.014
nature-2,nature-2-wm-big.png,nature-2.png,0.016,0.016,0.062,0,0.038,0.012
nature-2,nature-2-wm-small.png,nature-2-hue.png,0.016,0.016,0.031,0,0.164,0.091
nature-2,nature-2-wm-small.png,nature-2-wm-big.png,0.016,0,0.062,0,0.038,0.014
nature-2,nature-2.png,nature-2-hue.png,0.016,0,0.031,0,0.163,0.087
nature-2,nature-2.png,nature-2-wm-big.png,0.016,0.016,0.062,0,0.038,0.012
cat,cat-box.png,cat-clonestamp.png,0.031,0.078,0.062,0.094,0.119,0.028
cat,cat-box.png,cat-hue.png,0.031,0.016,0.062,0.062,0.326,0.168
cat,cat-clonestamp.png,cat-box.png,0.031,0.078,0.062,0.094,0.119,0.028
cat,cat-clonestamp.png,cat-hue.png,0.031,0.062,0.031,0.031,0.319,0.158
cat,cat-hue.png,cat-box.png,0.031,0.016,0.062,0.062,0.329,0.168
cat,cat-hue.png,cat-clonestamp.png,0.031,0.062,0.031,0.031,0.322,0.158
nature-1,nature-1-hue.png,nature-1-wm-small.png,0.031,0.016,0.062,0.062,0.137,0.108
nature-1,nature-1-wm-small.png,nature-1-hue.png,0.031,0.016,0.062,0.062,0.137,0.108
nature-2,nature-2-hue.png,nature-2-wm-big.png,0.031,0.016,0.094,0,0.169,0.098
nature-2,nature-2-wm-big.png,nature-2-hue.png,0.031,0.016,0.094,0,0.167,0.098
cityscape,cityscape-clonestamp.png,cityscape-wm-small.png,0.047,0.062,0.094,0.031,0.094,0.03
cityscape,cityscape-clonestamp.png,cityscape.png,0.047,0.062,0.094,0.031,0.091,0.026
cityscape,cityscape-wm-small.png,cityscape-clonestamp.png,0.047,0.062,0.094,0.031,0.093,0.03
cityscape,cityscape.png,cityscape-clonestamp.png,0.047,0.062,0.094,0.031,0.09,0.026
cityscape,cityscape-box.png,cityscape-wm-small.png,0.062,0.109,0.188,0.031,0.116,0.03
cityscape,cityscape-box.png,cityscape.png,0.062,0.078,0.188,0.031,0.113,0.026
cityscape,cityscape-clonestamp.png,cityscape-wm-big.png,0.062,0.062,0.094,0.062,0.105,0.037
cityscape,cityscape-wm-big.png,cityscape-clonestamp.png,0.062,0.062,0.094,0.062,0.104,0.037
cityscape,cityscape-wm-small.png,cityscape-box.png,0.062,0.109,0.188,0.031,0.114,0.03
cityscape,cityscape.png,cityscape-box.png,0.062,0.078,0.188,0.031,0.112,0.026
nature-1,nature-1-box.png,nature-1-hue.png,0.062,0.031,0.281,0.125,0.153,0.125
nature-1,nature-1-hue.png,nature-1-box.png,0.062,0.031,0.281,0.125,0.154,0.125
nature-1,nature-1-hue.png,nature-1-wm-big.png,0.062,0.016,0.094,0.156,0.152,0.115
nature-1,nature-1-wm-big.png,nature-1-hue.png,0.062,0.016,0.094,0.156,0.151,0.115
nature-2,nature-2-box.png,nature-2-wm-small.png,0.062,0,0.25,0,0.081,0.028
nature-2,nature-2-box.png,nature-2.png,0.062,0.016,0.25,0,0.079,0.024
nature-2,nature-2-wm-small.png,nature-2-box.png,0.062,0,0.25,0,0.081,0.028
nature-2,nature-2.png,nature-2-box.png,0.062,0.016,0.25,0,0.079,0.024
cityscape,cityscape-box.png,cityscape-wm-big.png,0.078,0.109,0.188,0.062,0.125,0.037
cityscape,cityscape-no-cn-tower.png,cityscape-wm-small.png,0.078,0,0.031,0,0.051,0.009
cityscape,cityscape-no-cn-tower.png,cityscape.png,0.078,0.031,0.031,0,0.045,0.005
cityscape,cityscape-wm-big.png,cityscape-box.png,0.078,0.109,0.188,0.062,0.123,0.037
cityscape,cityscape-wm-small.png,cityscape-no-cn-tower.png,0.078,0,0.031,0,0.051,0.009
cityscape,cityscape.png,cityscape-no-cn-tower.png,0.078,0.031,0.031,0,0.045,0.005
nature-1,nature-1-box.png,nature-1.png,0.078,0.031,0.25,0.125,0.085,0.028
nature-1,nature-1-wm-big.png,nature-1.png,0.078,0.016,0.031,0.156,0.079,0.017
nature-1,nature-1.png,nature-1-box.png,0.078,0.031,0.25,0.125,0.085,0.028
nature-1,nature-1.png,nature-1-wm-big.png,0.078,0.016,0.031,0.156,0.08,0.017
nature-2,nature-2-box.png,nature-2-hue.png,0.078,0.016,0.219,0,0.179,0.104
nature-2,nature-2-box.png,nature-2-wm-big.png,0.078,0,0.219,0,0.088,0.036
nature-2,nature-2-hue.png,nature-2-box.png,0.078,0.016,0.219,0,0.181,0.104
nature-2,nature-2-wm-big.png,nature-2-box.png,0.078,0,0.219,0,0.087,0.036
cityscape,cityscape-clonestamp.png,cityscape-no-cn-tower.png,0.094,0.062,0.094,0.031,0.096,0.028
cityscape,cityscape-crop-left.png,cityscape-wm-small.png,0.094,0.172,0.281,0.125,0.251,0.056
